frequency,distance,len_phrase,nnp,nn,jj, vb,cd,sumsimilarity,class
0,-1,0.06666666666666667,1,1,0,0,0,0.122341169976,1
2,7879,0.045454545454545456,1,1,0,0,0,0.138488129014,1
1,16957,0.05263157894736842,1,1,0,0,0,0.262419380248,1
0,-1,0.058823529411764705,1,1,0,0,0,0.256288647186,1
0,-1,0.05,1,0,0,1,0,0.191399657866,1
0,-1,0.04,1,1,0,1,0,0.293239682602,1
0,-1,0.05,0,0,0,0,0,0.173351487727,0
1,13967,0.058823529411764705,0,0,0,0,0,0.0,0
26,695,0.08333333333333333,0,0,0,0,0,0.196458898252,0
1,40220,0.08333333333333333,0,0,0,0,0,0.122341169976,0
0,-1,0.04,0,0,0,0,0,0.138488129014,0
0,-1,0.03571428571428571,0,0,0,0,0,0.262419380248,0
0,-1,0.041666666666666664,0,0,0,0,0,0.256288647186,0
0,-1,0.05,0,0,0,0,0,0.191399657866,0
0,-1,0.5,0,0,0,0,0,0.293239682602,0
3,67925,0.037037037037037035,1,1,0,1,0,0.236304082985,1
2,65404,0.058823529411764705,1,0,0,1,0,0.122185435612,1
1,70785,0.08333333333333333,1,1,0,0,0,0.125020965934,1
0,-1,0.0625,0,0,1,1,0,0.203021386638,1
0,-1,0.05555555555555555,1,1,0,0,0,0.10499191063,1
1,66554,0.14285714285714285,0,0,0,0,0,0.236304082985,0
0,-1,0.05263157894736842,0,0,0,0,0,0.122185435612,0
3,12968,0.09090909090909091,0,0,0,0,0,0.125020965934,0
35,288,0.16666666666666666,0,0,0,0,0,0.203021386638,0
1,874,0.03333333333333333,0,0,0,0,0,0.10499191063,0
0,-1,0.058823529411764705,1,1,0,0,0,0.124911054736,1
0,-1,0.05555555555555555,1,0,0,1,0,0.0455474753398,1
0,-1,0.038461538461538464,1,0,0,1,0,0.0740696317516,1
0,-1,0.047619047619047616,1,0,0,1,0,0.0445144465193,1
0,-1,0.03225806451612903,1,1,0,0,0,0.0743135699692,1
0,-1,0.2,0,0,0,0,0,0.124911054736,0
11,11070,0.07692307692307693,0,0,0,0,0,0.0455474753398,0
0,-1,0.047619047619047616,0,0,0,0,0,0.0740696317516,0
2,6656,0.5,0,0,0,0,0,0.0445144465193,0
6,564,0.2,0,0,0,0,0,0.0743135699692,0
0,-1,0.034482758620689655,1,1,0,0,0,0.205020738882,1
0,-1,0.05555555555555555,1,0,0,1,0,0.0752932673786,1
0,-1,0.043478260869565216,1,0,0,1,0,0.13040729292,1
0,-1,0.038461538461538464,1,0,0,1,0,0.122229726519,1
0,-1,0.05263157894736842,1,1,0,1,0,0.130124259585,1
0,-1,0.058823529411764705,1,1,0,0,0,-0.032165016979,1
1,2449,0.09090909090909091,0,0,0,0,0,0.205020738882,0
9,17008,0.125,0,0,0,0,0,0.0752932673786,0
0,-1,0.06666666666666667,0,0,0,0,0,0.13040729292,0
7,9288,0.2,0,0,0,0,0,0.122229726519,0
0,-1,0.0625,0,0,0,0,0,0.130124259585,0
0,-1,0.25,0,0,0,0,0,-0.032165016979,0
1,21177,0.05,1,1,0,0,0,0.0736182222608,1
31,278,0.3333333333333333,0,1,0,0,0,0.00753274001181,1
0,-1,0.045454545454545456,1,1,0,0,0,0.0702054373299,1
0,-1,0.05,1,0,0,1,0,0.0511425361037,1
0,-1,0.029411764705882353,1,1,0,1,0,0.148657742112,1
0,-1,0.1111111111111111,0,0,0,0,0,0.0736182222608,0
15,446,0.125,0,0,0,0,0,0.00753274001181,0
1,30271,0.125,0,0,0,0,0,0.0702054373299,0
0,-1,0.1,0,0,0,0,0,0.0511425361037,0
